Name,qb,rb,wr,te,ol,dl,lb,s,cb,off,def
Colts2020,21.301373267776324,2.658335870009009,10.324289586522795,5.788647347717076,22.154016670008563,22.903492569541683,4.410775016323159,3.362584359593186,7.096485312508204,62.22666274203377,37.77333725796623
Raiders2020,14.564223282943187,4.028289076383936,8.001033322705455,7.03117822827971,25.67311638094408,14.966304416995294,11.46176807136432,9.802349156130239,4.47173806425378,59.297840291256364,40.702159708743636
Cowboys2020,17.05175385663109,5.891178266986961,8.532704497488549,3.0868395976367933,25.652837060304915,21.361246746943003,8.732444757031846,3.8504585700398453,5.840536646936998,60.21531327904832,39.78468672095169
Buccaneers2020,13.088887522503315,2.4106217738381766,12.479347072229706,9.517091404811485,20.466761817822793,16.147509335851137,18.281982590662523,3.235275409433815,4.372523072847053,57.962709591205474,42.037290408794526
Eagles2020,10.840081405980712,1.896873345155134,17.73612183739463,8.037449978208564,21.0054584918959,24.09643325643391,3.195316719504933,4.909930101851188,8.282334863575029,59.51598505863494,40.48401494136506
Rams2020,18.8096983553986,10.957254627069425,8.850447657025445,6.7873869357787955,13.697942045717467,20.7120440546773,5.446297439854088,3.2635075341384163,11.475421350340467,59.10272962098973,40.89727037901027
Texans2020,4.829221830821368,8.583862983284925,18.034596046983115,3.3435946939581993,23.1836320553414,14.63937387200179,14.212027144993872,4.177695345899191,8.995996026716139,57.97490761038901,42.02509238961099
Packers2020,11.490588602603214,3.84066476582921,12.392234857392959,2.871738180569087,25.667843140609584,9.156288714862965,21.487221131214824,7.962456265668481,5.130964341249674,56.26306954700406,43.73693045299594
Chiefs2020,3.678450586216802,3.2678278532357035,19.393933588997097,6.032539895639302,19.05161730605846,23.167134195135255,10.202869383761938,10.84235283315944,4.363274357796001,51.42436923014737,48.57563076985263
Titans2020,12.184450846954432,6.710180498050832,11.6732263222808,3.4825194686926033,24.105499755987367,8.269259063030319,12.295817857788,10.206312443448507,11.072733743767142,58.155876891966024,41.844123108033976
Falcons2020,10.922839964151295,5.121589040279744,14.273402662187237,2.2943779432108586,22.134403648818815,17.714107661669992,7.354682866387957,9.433243504969212,10.751352708324887,54.74661325864795,45.25338674135205
Saints2020,16.431811173144247,4.171817031397155,9.528489175799836,7.5301474016912096,20.186909692124374,19.955126529783332,10.270057884975138,4.677614781860942,7.248026329223767,57.84917447415682,42.15082552584318
Seahawks2020,16.753470774828997,4.043403796032255,10.631087926931674,7.961201611712509,18.8583040202362,11.610967215233211,15.764391652749874,8.699908301645282,5.677264700629999,58.247468129741634,41.752531870258366
Giants2020,6.425855210445376,7.311514296792751,14.268264206951697,5.447764331738493,24.804240694890527,13.26907635920655,14.049341616822096,4.351387600588604,10.072555682563909,58.25763874081884,41.74236125918116
Browns2020,6.712355780788137,4.309701467560716,17.84348341202,4.635490514747432,20.610704422930045,27.37610282010803,3.734028228183581,4.395494348106543,10.382639005555516,54.11173559804634,45.88826440195366
Jets2020,4.6805635138440955,8.93064023390166,15.33501451682286,3.144861931957287,18.626658300725058,11.351252761627846,17.958155741147852,5.68827323889717,14.28457976107617,50.71773849725096,49.28226150274904
Bears2020,8.013755304777549,1.8773030791145062,13.050392700551997,10.760680595153021,14.96383126175285,13.532267752193825,22.480406962502148,3.4882746983068755,11.833087645647227,48.665962941349925,51.334037058650075
Bills2020,4.430465174840615,2.7353728248898728,16.874902449223562,5.547805678346049,18.293159011888488,29.119485000623243,8.495172665699831,8.009708986442371,6.493928208045968,47.88170513918858,52.11829486081142
49ers2020,14.68917623735634,6.523324259579698,6.802402427331839,2.4509403100609144,19.637456579053573,24.352958468642914,5.416859142307617,7.759813249934313,12.367069325732789,50.103299813382364,49.896700186617636
Patriots2020,1.5991540475737123,7.527730098936886,14.181207782724012,2.3594573126867937,24.02382455269466,11.965363091596423,9.8317027297618,9.780936686533334,18.730623697492383,49.69137379461606,50.30862620538394
Panthers2020,8.78695250586728,7.2468972516735395,12.918498960610197,3.220639245601988,21.61254673948892,17.06325219699004,20.28953149197585,6.283264528324917,2.5784170794672683,53.78553470324192,46.21446529675808
Chargers2020,4.687026225677191,4.336086880176379,13.166588785599556,9.155804785792148,18.326110541238382,23.293068736062402,9.073147406112124,4.2546612492236795,13.707505390118138,49.671617218483654,50.328382781516346
Cardinals2020,5.534401130797098,5.856525288944834,16.933585068950876,2.295113169531568,20.151599911439597,6.9199123328696555,25.33897123945069,2.9382576586174576,14.031634199398226,50.77122456966397,49.22877543033603
Lions2020,13.249963842382298,2.797483241904438,12.378057639857307,6.507813002141161,16.336152052440124,18.848420358377396,10.210780259007365,6.602677216677502,13.068652387212412,51.26946977872533,48.73053022127467
Bengals2020,1.1464115621118594,5.261013744960011,21.097452204002085,6.0014540144050645,15.196745394983884,24.22420122658837,2.9797663467240287,8.305682953497026,15.787272552727668,48.703076920462905,51.296923079537095
Steelers2020,13.495427616450547,1.8778047507502171,4.154728999871168,5.486512971438822,20.868390452154422,20.021502583771905,17.40907115609468,4.12076444312269,12.565797026345551,45.882864790665174,54.117135209334826
Vikings2020,12.881769704462517,2.9083576882819555,11.275960598570167,7.133637243310983,15.749308224020027,14.821424443153973,16.765862286208264,13.39380715868945,5.069872653302662,49.94903345864565,50.05096654135435
Redskins2020,14.938866270206573,4.75344102865044,5.523802411046638,4.46850626729016,21.166677144859634,9.457254962625496,19.547197339321144,13.014919778064861,7.129334797935056,50.85129312205344,49.14870687794656
Jaguars2020,1.3156644219221831,7.261890788263888,9.25909299303023,4.456021356707661,22.681995517859896,25.326294414703632,15.797647102033011,4.623985768438175,9.277407637041325,44.974665077783854,55.025334922216146
Dolphins2020,6.494844112252045,6.213908123875599,12.384360296388696,2.293407774313862,13.94076935352738,15.412546784969933,13.581089450795165,9.027260745678754,20.651813358198567,41.327289660357586,58.672710339642414
Broncos2020,2.09671162516784,5.247171678689512,4.51571800615329,6.685790598849173,17.315662626311262,12.378183627379862,24.53957470873535,14.241177145773992,12.980009982939714,35.86105453517108,64.13894546482892
Ravens2020,3.341249892703833,4.352782490408806,8.103584503326388,4.841868038484081,12.46242156315971,21.601450381411944,13.981086440189314,12.507699162661174,18.80785752765475,33.10190648808282,66.89809351191718
